employee_id,fecha,dia_semana,org_unit_id,cargo,shift_id,es_saliente,nota
21456789-1,2026-04-06,LUN,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
21456789-1,2026-04-07,MAR,UO_PRUEBA,Operador,S_0730_1430_60,0,etapa3_final
21456789-1,2026-04-08,MIE,UO_PRUEBA,Operador,S_0730_1430_60,0,etapa3_final
21456789-1,2026-04-09,JUE,UO_PRUEBA,Operador,S_1430_2130_60,0,etapa3_final
21456789-1,2026-04-10,VIE,UO_PRUEBA,Operador,S_0730_1430_60,0,etapa3_final
21456789-1,2026-04-11,SAB,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
21456789-1,2026-04-12,DOM,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
21456789-1,2026-04-13,LUN,UO_PRUEBA,Operador,S_0730_1430_60,0,etapa3_final
21456789-1,2026-04-14,MAR,UO_PRUEBA,Operador,S_0730_1430_60,0,etapa3_final
21456789-1,2026-04-15,MIE,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
21456789-1,2026-04-16,JUE,UO_PRUEBA,Operador,S_0730_1430_60,0,etapa3_final
21456789-1,2026-04-17,VIE,UO_PRUEBA,Operador,S_0730_1430_60,0,etapa3_final
21456789-1,2026-04-18,SAB,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
21456789-1,2026-04-19,DOM,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
21456789-1,2026-04-20,LUN,UO_PRUEBA,Operador,S_0730_1430_60,0,etapa3_final
21456789-1,2026-04-21,MAR,UO_PRUEBA,Operador,S_0730_1430_60,0,etapa3_final
21456789-1,2026-04-22,MIE,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
21456789-1,2026-04-23,JUE,UO_PRUEBA,Operador,S_0730_1430_60,0,etapa3_final
21456789-1,2026-04-24,VIE,UO_PRUEBA,Operador,S_0730_1430_60,0,etapa3_final
21456789-1,2026-04-25,SAB,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
21456789-1,2026-04-26,DOM,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
24567890-1,2026-03-30,LUN,UO_PRUEBA,Operador,S_0730_1630_60,0,etapa3_final
24567890-1,2026-03-31,MAR,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
24567890-1,2026-04-01,MIE,UO_PRUEBA,Operador,S_0730_1430_60,0,etapa3_final
24567890-1,2026-04-02,JUE,UO_PRUEBA,Operador,S_1430_2130_60,0,etapa3_final
24567890-1,2026-04-03,VIE,UO_PRUEBA,Operador,S_0730_1430_60,0,etapa3_final
24567890-1,2026-04-04,SAB,UO_PRUEBA,Operador,S_1130_2130_60,0,etapa3_final
24567890-1,2026-04-05,DOM,UO_PRUEBA,Operador,S_1130_2130_60,0,etapa3_final
24567890-1,2026-04-06,LUN,UO_PRUEBA,Operador,S_1430_2130_60,0,etapa3_final
24567890-1,2026-04-07,MAR,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
24567890-1,2026-04-08,MIE,UO_PRUEBA,Operador,S_1130_2130_60,0,etapa3_final
24567890-1,2026-04-09,JUE,UO_PRUEBA,Operador,S_0730_1500_60,0,etapa3_final
24567890-1,2026-04-10,VIE,UO_PRUEBA,Operador,S_0730_1600_60,0,etapa3_final
24567890-1,2026-04-11,SAB,UO_PRUEBA,Operador,S_1430_2130_60,0,etapa3_final
24567890-1,2026-04-12,DOM,UO_PRUEBA,Operador,S_1130_2130_60,0,etapa3_final
24567890-1,2026-04-13,LUN,UO_PRUEBA,Operador,S_0730_1630_60,0,etapa3_final
24567890-1,2026-04-14,MAR,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
24567890-1,2026-04-15,MIE,UO_PRUEBA,Operador,S_1130_2130_60,0,etapa3_final
24567890-1,2026-04-16,JUE,UO_PRUEBA,Operador,S_1130_2130_60,0,etapa3_final
24567890-1,2026-04-17,VIE,UO_PRUEBA,Operador,S_1130_2130_60,0,etapa3_final
24567890-1,2026-04-18,SAB,UO_PRUEBA,Operador,S_1130_2130_60,0,etapa3_final
24567890-1,2026-04-19,DOM,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
24567890-1,2026-04-20,LUN,UO_PRUEBA,Operador,S_1130_2130_60,0,etapa3_final
24567890-1,2026-04-21,MAR,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
24567890-1,2026-04-22,MIE,UO_PRUEBA,Operador,S_1130_2130_60,0,etapa3_final
24567890-1,2026-04-23,JUE,UO_PRUEBA,Operador,S_1130_2130_60,0,etapa3_final
24567890-1,2026-04-24,VIE,UO_PRUEBA,Operador,S_0730_1630_60,0,etapa3_final
24567890-1,2026-04-25,SAB,UO_PRUEBA,Operador,S_1130_2130_60,0,etapa3_final
24567890-1,2026-04-26,DOM,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
25123845-8,2026-03-30,LUN,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
25123845-8,2026-03-31,MAR,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
25123845-8,2026-04-01,MIE,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
25123845-8,2026-04-02,JUE,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
25123845-8,2026-04-03,VIE,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
25123845-8,2026-04-04,SAB,UO_PRUEBA,Operador,S_0730_1630_60,0,etapa3_final
25123845-8,2026-04-05,DOM,UO_PRUEBA,Operador,S_0830_1730_60,0,etapa3_final
25123845-8,2026-04-06,LUN,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
25123845-8,2026-04-07,MAR,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
25123845-8,2026-04-08,MIE,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
25123845-8,2026-04-09,JUE,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
25123845-8,2026-04-10,VIE,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
25123845-8,2026-04-11,SAB,UO_PRUEBA,Operador,S_0730_1630_60,0,etapa3_final
25123845-8,2026-04-12,DOM,UO_PRUEBA,Operador,S_0830_1730_60,0,etapa3_final
25123845-8,2026-04-13,LUN,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
25123845-8,2026-04-14,MAR,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
25123845-8,2026-04-15,MIE,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
25123845-8,2026-04-16,JUE,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
25123845-8,2026-04-17,VIE,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
25123845-8,2026-04-18,SAB,UO_PRUEBA,Operador,S_0730_1630_60,0,etapa3_final
25123845-8,2026-04-19,DOM,UO_PRUEBA,Operador,S_0830_1730_60,0,etapa3_final
25123845-8,2026-04-20,LUN,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
25123845-8,2026-04-21,MAR,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
25123845-8,2026-04-22,MIE,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
25123845-8,2026-04-23,JUE,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
25123845-8,2026-04-24,VIE,UO_PRUEBA,Operador,LIBRE,0,etapa3_final
25123845-8,2026-04-25,SAB,UO_PRUEBA,Operador,S_0730_1630_60,0,etapa3_final
25123845-8,2026-04-26,DOM,UO_PRUEBA,Operador,S_0830_1730_60,0,etapa3_final
9876543-1,2026-03-30,LUN,UO_PRUEBA,Administrador de tienda Jr,S_1130_2130_60,0,etapa3_final
9876543-1,2026-03-31,MAR,UO_PRUEBA,Administrador de tienda Jr,S_1130_2130_60,0,etapa3_final
9876543-1,2026-04-01,MIE,UO_PRUEBA,Administrador de tienda Jr,S_0800-1430_60,0,etapa3_final
9876543-1,2026-04-02,JUE,UO_PRUEBA,Administrador de tienda Jr,S_0730_1430_60,0,etapa3_final
9876543-1,2026-04-03,VIE,UO_PRUEBA,Administrador de tienda Jr,S_1130_2130_60,0,etapa3_final
9876543-1,2026-04-04,SAB,UO_PRUEBA,Administrador de tienda Jr,S_0800-1430_60,0,etapa3_final
9876543-1,2026-04-05,DOM,UO_PRUEBA,Administrador de tienda Jr,LIBRE,0,etapa3_final
9876543-1,2026-04-06,LUN,UO_PRUEBA,Administrador de tienda Jr,S_0730_1430_60,0,etapa3_final
9876543-1,2026-04-07,MAR,UO_PRUEBA,Administrador de tienda Jr,S_1130_2130_60,0,etapa3_final
9876543-1,2026-04-08,MIE,UO_PRUEBA,Administrador de tienda Jr,S_0800-1430_60,0,etapa3_final
9876543-1,2026-04-09,JUE,UO_PRUEBA,Administrador de tienda Jr,S_0800-1430_60,0,etapa3_final
9876543-1,2026-04-10,VIE,UO_PRUEBA,Administrador de tienda Jr,S_1130_2130_60,0,etapa3_final
9876543-1,2026-04-11,SAB,UO_PRUEBA,Administrador de tienda Jr,S_1130_2130_60,0,etapa3_final
9876543-1,2026-04-12,DOM,UO_PRUEBA,Administrador de tienda Jr,LIBRE,0,etapa3_final
9876543-1,2026-04-13,LUN,UO_PRUEBA,Administrador de tienda Jr,S_1430_2130_60,0,etapa3_final
9876543-1,2026-04-14,MAR,UO_PRUEBA,Administrador de tienda Jr,S_1130_2130_60,0,etapa3_final
9876543-1,2026-04-15,MIE,UO_PRUEBA,Administrador de tienda Jr,S_0730_1600_60,0,etapa3_final
9876543-1,2026-04-16,JUE,UO_PRUEBA,Administrador de tienda Jr,S_0730_1500_60,0,etapa3_final
9876543-1,2026-04-17,VIE,UO_PRUEBA,Administrador de tienda Jr,S_0730_1430_60,0,etapa3_final
9876543-1,2026-04-18,SAB,UO_PRUEBA,Administrador de tienda Jr,LIBRE,0,etapa3_final
9876543-1,2026-04-19,DOM,UO_PRUEBA,Administrador de tienda Jr,S_1130_2130_60,0,etapa3_final
9876543-1,2026-04-20,LUN,UO_PRUEBA,Administrador de tienda Jr,LIBRE,0,etapa3_final
9876543-1,2026-04-21,MAR,UO_PRUEBA,Administrador de tienda Jr,S_0730_1630_60,0,etapa3_final
9876543-1,2026-04-22,MIE,UO_PRUEBA,Administrador de tienda Jr,S_0730_1430_60,0,etapa3_final
9876543-1,2026-04-23,JUE,UO_PRUEBA,Administrador de tienda Jr,S_1130_2130_60,0,etapa3_final
9876543-1,2026-04-24,VIE,UO_PRUEBA,Administrador de tienda Jr,S_1130_2130_60,0,etapa3_final
9876543-1,2026-04-25,SAB,UO_PRUEBA,Administrador de tienda Jr,S_1430_2130_60,0,etapa3_final
9876543-1,2026-04-26,DOM,UO_PRUEBA,Administrador de tienda Jr,S_1430_2130_60,0,etapa3_final
